WKT,fid,OBJECTID,CODE,school_name,LEVEL,Status,County,DISTRICT,ZONE,SUB_COUNTY,Ward,Long,Lat,Source
MULTIPOINT ((248605.258202337 9858308.22468258)),1886,36077,200725631,PRUDENT ACADEMY PRI),Primary,,NAIROBI WEST,,,,KABIRO,36.740807,-1.280925,"Open Data Kenya, School 2007"
MULTIPOINT ((264994.474257601 9862226.05383241)),1887,36113,200725752,ST STEPHENS VB ORPHANS AND EDUCATIONAL CENTRE PRI,Primary,,NAIROBI NORTH,,,,BABA DOGO,36.88805,-1.24563,"Open Data Kenya, School 2007"
MULTIPOINT ((262511.371116495 9860972.3039863)),1888,36132,200725822,AIPCA NGEI 2 JUNIOR ACADEMY,Primary,,NAIROBI NORTH,,,,UTALII,36.865736,-1.256947,"Open Data Kenya, School 2007"
MULTIPOINT ((267887.731508564 9859509.81421202)),1889,36133,200725828,SKYROCK PRI SCH,Primary,,NAIROBI SOUTH,,,,KOMAROCK,36.91402,-1.270209,"Open Data Kenya, School 2007"
MULTIPOINT ((266784.276210829 9867598.35327155)),1890,36151,200725913,WONDERLAND INTERGRATED SCH - PRI,Primary,,NAIROBI NORTH,,,,KAHAWA,36.904165,-1.197071,"Open Data Kenya, School 2007"
MULTIPOINT ((255327.279465768 9855600.41460982)),1891,36153,200725916,MBAGATHI ROAD PRIMARY SCHOOL,Primary,,NAIROBI WEST,,,,WOODLEY/KENYATTA GOLF COURSE,36.801164,-1.305458,"Open Data Kenya, School 2007"
MULTIPOINT ((263156.971688314 9861904.69841335)),1892,36162,200725960,PENIKEVA ACADEMY,Primary,,NAIROBI NORTH,,,,MATHARE NORTH,36.871542,-1.248522,"Open Data Kenya, School 2007"
MULTIPOINT ((257658.188098381 9865126.82702067)),1893,36165,200725978,CHELETE PRI SCH,Primary,,NAIROBI NORTH,,,,KARURA,36.822173,-1.219351,"Open Data Kenya, School 2007"
MULTIPOINT ((250419.513750086 9849355.23625979)),1894,36384,200726830,AL MADRASA SEC SCH,Secondary,,NAIROBI WEST,,,,KAREN,36.75703,-1.361877,"Open Data Kenya, School 2007"
MULTIPOINT ((246887.807079356 9849783.77965385)),1895,36386,200726833,KARENGATA ACADEMY,Secondary,,NAIROBI WEST,,,,KAREN,36.725311,-1.357973,"Open Data Kenya, School 2007"
MULTIPOINT ((251268.829787926 9851547.75913823)),1896,36394,200726849,BROOKHOUSE SCHOOLS- SEC,Secondary,,NAIROBI WEST,,,,KAREN,36.764677,-1.342063,"Open Data Kenya, School 2007"
MULTIPOINT ((248753.866753574 9851668.78634959)),1897,36395,200726850,KAREN SOUTH SEC SCH,Secondary,,NAIROBI WEST,,,,KAREN,36.742088,-1.340948,"Open Data Kenya, School 2007"
MULTIPOINT ((247844.222227687 9851976.34775597)),1898,36396,200726856,HILLCREST SEC SCHOOL,Secondary,,NAIROBI WEST,,,,KAREN,36.73392,-1.33816,"Open Data Kenya, School 2007"
MULTIPOINT ((249722.437052468 9852046.43795316)),1899,36398,200726859,NAIROBI ACADEMY SEC,Secondary,,NAIROBI WEST,,,,KAREN,36.750791,-1.337542,"Open Data Kenya, School 2007"
MULTIPOINT ((249235.731040578 9852251.18542678)),1900,36400,200726862,RASUL AL AKRAM SEC SCH,Secondary,,NAIROBI WEST,,,,KAREN,36.746421,-1.335687,"Open Data Kenya, School 2007"
MULTIPOINT ((250233.668203488 9852534.94438284)),1901,36402,200726865,THE NAIROBI JAPANESE SCH-JUNIOR HIGH,Secondary,,NAIROBI WEST,,,,KAREN,36.755387,-1.33313,"Open Data Kenya, School 2007"
MULTIPOINT ((247886.642144183 9853183.77920221)),1902,36407,200726873,JARMAT GIRLS SEC SCH,Secondary,,NAIROBI WEST,,,,KAREN,36.734311,-1.327245,"Open Data Kenya, School 2007"
MULTIPOINT ((246505.822484682 9853372.77439998)),1903,36409,200726877,ST. HANNAHS' BOYS HIGH SCH,Secondary,,NAIROBI WEST,,,,KAREN,36.72191,-1.325525,"Open Data Kenya, School 2007"
MULTIPOINT ((244659.055248014 9853557.68454836)),1904,36410,200726878,ST. ELIZABETH ACADEMY SEC,Secondary,,NAIROBI WEST,,,,KAREN,36.705324,-1.323838,"Open Data Kenya, School 2007"
